SAMPLE	RUN_LANE	LANE	READS	OK	RATIO	CHROM	EXONIC	LINKED	BAD_CODES	BELOW_MQS
NA12892	1382_1	1382_1	8588188	4613656	0.537209478879596	4613920	3887382	567458	1525702	2220790
NA11918	1671_5	1671_5	8573758	3480732	0.40597506950861	3480848	2899754	191792	2823208	1966224
NA07051	1974_1	1974_1	13662472	7037190	0.515074431625551	7037482	6249764	754892	2629706	3872622
NA07357	1974_2	1974_2	14428046	7623688	0.528393657741319	7624450	6690420	1227802	2830742	3524338
NA10847	1974_3	1974_3	11123308	6123200	0.55048372300758	6123556	5442142	674518	2189994	2486442
NA10851	1974_5	1974_5	13510952	7432620	0.550118155996705	7433020	6565742	784448	2454938	3221482
NA11829	1974_6	1974_6	13220244	7395674	0.559420385886978	7396198	6578766	699944	2528768	3114738
NA11830	1974_7	1974_7	12815676	7133366	0.556612542327069	7133848	6402774	652534	2521036	2961178
NA07037	1974_8	1974_8	12741612	7003672	0.549669225526566	7004180	6141966	824986	2571046	3028344
NA11881	1982_8	1982_8	14372286	8071784	0.561621442824057	8072414	5879712	729450	2838898	3171540
NA12155	2003_6	2003_6	15741634	8857668	0.562690505953829	8858598	7919770	1421298	2963438	3696590
NA12156	2003_7	2003_7	11731294	6674074	0.568912005785551	6674264	6054802	441936	1928686	2971762
NA11920	2005_1	2005_1	19131020	10877496	0.568578988470035	10878172	9957638	1437836	2506308	5410858
NA11931	2005_2	2005_2	22693954	12472660	0.549602770852536	12473452	11244320	1758054	3226252	6672776
NA12154	3125_3	3125_3	29031602	15886254	0.547205558962954	15898980	13244238	5091998	5590232	6874060
NA11992	2005_5	2005_5	20814712	12064276	0.579603311350164	12065082	10725982	1487954	2635616	5493148
NA11993	2005_6	2005_6	14660058	8866166	0.604783828276805	8866628	7134136	627068	1723362	3672040
NA12234	2005_7	2005_7	16234450	9399744	0.578999842926616	9400360	8525524	1150888	2667638	3962854
NA12287	2005_8	2005_8	16803442	9442338	0.561928800063701	9443622	8647930	1706538	2578832	4662710
NA11894	2011_5	2011_5	14286174	7833164	0.548303835582571	7834008	7175828	942244	1798364	4393834
NA12414	2011_6	2011_6	14740838	7993010	0.542235794192976	7993172	7243364	318258	2323674	4299208
NA06994	2036_1	2036_1	10119220	5468346	0.540392046027263	5468780	4864676	763104	1740586	2719110
NA07000	2036_2	2036_2	11260020	6434604	0.571455823346673	6435118	5729442	839572	2118634	2575708
NA07346	2036_3	2036_3	9123480	5360816	0.587584562031155	5361136	4771384	638842	1598450	2028654
NA07347	2036_5	2036_5	10887770	6368632	0.584934472348332	6369002	5669982	728828	2001514	2354954
NA06985	2036_6	2036_6	12522564	7009570	0.559755174738975	7009794	6290294	459600	1988796	3323992
NA06986	2036_7	2036_7	11890540	6917484	0.581763654131772	6917792	6281668	652988	1859580	2980996
NA12717	2208_1	2208_1	10479066	5979906	0.570652575334481	5980440	5029734	579018	1414876	2699496
NA11831	2208_2	2208_2	15781932	8681246	0.550074984482255	8682022	7614704	1086106	2668316	4204406
NA12144	2208_5	2208_5	8949544	4987230	0.557260794516458	4987318	4530968	174822	1567032	2250030
NA11832	2208_6	2208_6	19159308	10694672	0.558197195848618	10695294	9610554	1176466	3204934	5068624
NA11840	2208_7	2208_7	19451560	11448400	0.588559478005877	11450664	10283972	2154486	3087378	4695918
NA12249	2208_8	2208_8	15609682	9193532	0.588963439485827	9196700	8200870	2167324	2190682	4000274
NA12760	2250_2	2250_2	21440570	12318168	0.574526143661293	12319816	11219096	2151438	3516722	5321898
NA12761	2257_8	2257_8	13810492	8256448	0.597838802556781	8257490	7479016	1148130	2199844	3123420
NA12762	2262_8	2262_8	11111554	5643810	0.507922654203003	5644684	4366712	713680	2602798	2515580
NA12891	2872_8	2872_8	17450516	10782832	0.617909063548608	10801512	9737116	4086532	2603544	3715254
NA12874	3125_5	3125_5	27140002	14179752	0.522466873804947	14186594	8820204	3070916	5212676	6843662
NA12716	3122_8	3122_8	19938812	10750364	0.539167729752404	10757164	8678290	2152656	2901776	5581606
NA11994	2872_6	2872_6	20564054	11210612	0.545155736315417	11219514	10186904	4143262	3473164	5527850
NA11995	2992_6	2992_6	18478550	10807824	0.584884852978183	10812868	9751994	2762840	3092278	4283902
NA12003	2872_2	2872_2	16420430	9441226	0.574968256007912	9451350	8254650	2693388	2385194	4254690
NA12004	2963_6	2963_6	6337986	3660144	0.577493228921616	3660332	2579368	171380	1063370	1524854
NA12006	2992_5	2992_5	25331342	15188890	0.599608579758625	15202292	13849758	4220252	3990522	5678276
NA12751	2354_1	2354_1	16307554	8827672	0.541324100475154	8828568	7931984	1550530	2810230	4484226
NA12812	3122_7	3122_7	29210476	15876078	0.543506309174832	15884182	12832132	3552398	6040924	6875622
NA12489	3125_1	3125_1	17720742	9493204	0.535711427884905	9498162	7763830	2558308	3257484	4394186
NA12045	3125_7	3125_7	30894450	17093728	0.553294459037141	17103576	13361436	3613750	5126444	7595786
NA12750	2420_1	2420_1	13548552	7222578	0.533088554407881	7222920	6321512	688102	2462178	3580442
NA12763	2420_2	2420_2	13981460	8349312	0.597170252605951	8351136	7449884	1841384	2240868	3213724
NA12815	2420_3	2420_3	15316284	8545124	0.557911044219342	8545496	7620194	585426	2530758	3967864
NA12828	2421_5	2421_5	21793786	11762556	0.53972063412938	11763316	10652596	1705846	4278110	5542512
NA12005	2992_7	2992_7	19907268	11792756	0.592384449739663	11800110	10207424	3739564	3328056	4524150
NA12813	2527_7	2527_7	12791026	6749654	0.527686676580909	6750066	6002486	772790	2319710	3416364
NA12814	3125_6	3125_6	28711894	15850520	0.552054141743488	15862560	12197662	4276520	5044408	7236420
NA12873	2589_8	2589_8	22974900	12502152	0.54416567645561	12502598	11266416	947912	4018898	6133496
NA12776	2631_1	2631_1	25584726	14393848	0.562595354744077	14395652	12930892	2965656	4376860	6664810
NA12043	2781_3	2781_3	24085240	13711938	0.569308755071571	13712368	12231834	836968	3741112	6317758
NA12044	2787_2	2787_2	23862234	13381160	0.560767277699146	13381778	11732324	919372	3637180	6353746
NA12872	3125_2	3125_2	26772896	14594268	0.545113535719109	14601024	11342934	3710140	5024652	6740008
